SAH_ID;CUS_ID;SAH_TIMESTAMP;STO_ID;SAH_POSNUM;SAH_TRXNUM;SAH_TOTPRODQTY;SAH_DOCTYPE;SAH_PAYMENTTYPE;SAH_TOTPRODAMT;SAH_TOTTAX1AMT;SAH_TOTTAX2AMT
1;71687;2021-01-02 14:41:00;18;9;1;2;2;2;4759;903;0
2;84089;2021-01-02 20:37:18;335;4;2;2;1;1;20926;3975;0
3;75274;2021-01-02 09:47:19;492;6;3;3;1;2;6604;1253;0
4;98646;2021-01-02 10:40:12;292;5;4;1;2;3;37370;7100;0
5;74805;2021-01-02 19:11:50;385;3;5;1;1;2;2128;404;0
6;37737;2021-01-02 16:10:08;141;9;6;3;2;1;11688;2220;0
7;30551;2021-01-02 11:25:22;445;3;7;1;1;1;7140;1356;0
8;17760;2021-01-02 15:13:53;56;2;8;7;2;3;20530;3898;0
9;53958;2021-01-02 09:39:00;275;2;9;2;1;3;2053;389;0
10;97167;2021-01-02 17:51:54;20;2;10;7;1;2;52797;10027;0
11;12325;2021-01-02 13:55:10;402;7;11;3;2;2;17661;3354;0
12;73916;2021-01-02 20:40:07;15;1;12;6;2;3;27439;5211;136
13;29001;2021-01-02 09:45:00;54;1;13;1;2;2;7499;1424;0
14;60342;2021-01-02 17:05:28;388;1;14;1;2;1;7524;1429;0
15;45778;2021-01-02 19:40:33;468;3;15;7;2;2;50251;9544;0
16;96;2021-01-02 18:55:29;117;4;16;4;1;2;36269;6890;911
17;5385;2021-01-02 14:04:03;458;3;17;2;1;3;25252;4797;0
18;48817;2021-01-02 12:04:32;335;6;18;2;1;1;16007;3040;0
19;68740;2021-01-02 13:46:25;384;4;19;4;2;2;22232;4222;704
20;7938;2021-01-02 12:03:48;60;3;20;3;1;1;19026;3614;0
21;44889;2021-01-02 17:45:05;466;2;21;4;2;1;23577;4478;0
22;9264;2021-01-02 21:00:28;49;4;22;1;2;1;1793;340;0
23;72210;2021-01-02 17:31:48;277;1;23;3;1;1;23717;4505;774
24;34815;2021-01-02 17:46:36;174;3;24;4;1;3;57291;10884;0
25;81651;2021-01-02 09:10:44;142;11;25;3;1;3;16228;3082;0
26;32974;2021-01-02 12:39:54;335;2;26;5;1;2;63039;11974;0
27;91926;2021-01-02 17:10:04;346;5;27;1;2;3;388;73;0
28;27710;2021-01-02 17:05:47;455;2;28;5;1;3;53327;10131;0
29;61645;2021-01-02 14:01:21;349;11;29;1;2;2;3738;710;0
30;35969;2021-01-02 18:08:45;324;4;30;3;1;2;52078;9894;0
31;53145;2021-01-02 15:12:07;91;3;31;3;2;1;7481;1420;0
32;96335;2021-01-02 11:07:23;104;1;32;7;1;1;55441;10530;0
33;73268;2021-01-02 10:45:39;444;1;33;5;2;3;73770;14013;0
34;22327;2021-01-02 14:56:38;259;6;34;7;2;1;50282;9549;0
35;28288;2021-01-02 10:30:11;68;5;35;2;1;3;17543;3332;0
36;79855;2021-01-02 14:20:14;256;2;36;1;2;1;9075;1724;0
37;87624;2021-01-02 12:49:55;386;7;37;5;1;2;102760;19523;4115
38;8248;2021-01-02 11:21:20;14;4;38;2;2;2;27353;5196;0
39;97650;2021-01-02 16:46:14;379;1;39;3;1;3;43699;8301;0
40;67176;2021-01-02 10:24:29;146;8;40;5;2;1;36194;6875;1252
41;58710;2021-01-02 10:16:20;488;5;41;5;2;3;52148;9906;0
42;35296;2021-01-02 21:05:05;146;5;42;2;2;3;3653;693;0
43;52865;2021-01-02 09:15:03;387;4;43;3;1;2;10830;2056;0
44;55163;2021-01-02 18:00:03;451;5;44;5;2;3;40424;7678;0
45;70433;2021-01-02 13:16:32;189;8;45;3;1;1;10320;1960;0
46;86800;2021-01-02 19:57:55;249;3;46;1;1;1;12858;2443;0
47;81476;2021-01-02 18:59:14;53;2;47;3;1;1;7102;1348;0
48;42009;2021-01-02 19:17:30;444;1;48;4;1;3;68273;12969;0
49;76862;2021-01-02 16:09:01;74;2;49;3;2;2;8220;1560;0
50;60092;2021-01-02 17:33:26;5;2;50;1;1;3;3771;716;0
51;76729;2021-01-02 08:47:27;424;2;51;5;1;2;20772;3944;0
52;31646;2021-01-02 10:08:50;445;1;52;1;1;2;4832;918;0
53;14988;2021-01-02 20:01:36;352;6;53;7;1;2;63897;12137;3506
54;87803;2021-01-02 16:52:14;156;1;54;1;2;3;2867;544;0
55;28125;2021-01-02 09:04:07;402;7;55;3;2;1;55051;10459;0
56;52408;2021-01-02 16:56:15;122;3;56;4;1;3;22609;4294;0
57;12265;2021-01-02 13:29:04;396;4;57;1;1;3;7506;1426;0
58;46183;2021-01-02 19:58:23;33;1;58;2;1;1;5462;1036;0
59;42324;2021-01-02 19:08:28;259;2;59;6;2;3;53126;10091;0
60;54424;2021-01-02 18:37:29;318;7;60;4;2;1;41403;7863;0
61;84308;2021-01-02 08:38:34;124;6;61;7;1;2;40467;7685;1256
62;88132;2021-01-02 11:13:28;88;2;62;3;1;3;20326;3860;0
63;61183;2021-01-02 08:35:55;103;1;63;3;1;2;9150;1737;0
64;42512;2021-01-02 15:58:25;273;5;64;1;1;1;3278;622;0
65;3177;2021-01-02 19:01:18;247;5;65;3;2;2;28528;5419;0
66;40822;2021-01-02 20:44:07;206;1;66;1;2;1;11264;2140;0
67;95381;2021-01-02 17:57:24;291;5;67;3;2;1;17416;3308;0
68;57620;2021-01-02 09:27:35;465;1;68;2;2;2;30796;5850;0
69;76252;2021-01-02 10:59:23;197;3;69;1;2;1;5324;1011;0
70;80423;2021-01-02 15:13:56;315;5;70;5;1;3;72958;13859;0
71;9079;2021-01-02 13:51:30;75;3;71;3;2;3;19316;3668;0
72;49547;2021-01-02 19:00:30;25;5;72;8;2;2;68115;12938;0
73;41132;2021-01-02 15:42:30;333;3;73;6;1;1;36980;7023;0
74;65080;2021-01-02 17:13:44;258;10;74;3;1;1;33729;6407;0
75;53832;2021-01-02 14:33:51;217;4;75;4;1;2;33452;6355;0
76;54041;2021-01-02 21:07:03;69;4;76;4;1;2;19213;3648;0
77;95329;2021-01-02 14:13:21;205;6;77;1;1;2;9512;1807;0
78;98339;2021-01-02 20:15:05;90;9;78;5;2;3;44653;8482;0
79;11852;2021-01-02 14:05:37;145;11;79;8;2;1;51998;9875;0
80;46968;2021-01-02 17:52:55;74;10;80;3;1;3;7945;1508;345
81;2586;2021-01-02 18:32:35;271;4;81;1;1;2;789;149;0
82;30166;2021-01-02 18:32:42;274;1;82;8;1;2;63983;12153;62
83;2818;2021-01-02 21:18:44;362;4;83;7;1;3;70453;13383;0
84;6715;2021-01-02 10:38:51;279;7;84;6;2;2;39605;7523;0
85;40707;2021-01-02 10:16:30;264;6;85;4;1;1;29884;5675;115
86;26747;2021-01-02 14:38:42;45;2;86;4;2;2;15217;2890;0
87;19648;2021-01-02 15:00:35;473;6;87;3;1;1;26987;5127;0
88;17212;2021-01-02 11:20:35;466;3;88;4;2;3;38038;7225;413
89;96256;2021-01-02 13:27:22;293;10;89;3;2;3;35416;6728;0
90;37427;2021-01-02 19:26:34;135;7;90;3;2;3;6816;1293;0
91;39500;2021-01-02 11:15:41;208;11;91;1;2;1;26199;4977;0
92;61008;2021-01-02 16:41:20;3;1;92;7;1;2;39732;7546;0
93;31775;2021-01-02 21:24:40;402;5;93;6;2;2;40415;7675;0
94;81819;2021-01-02 16:10:22;42;2;94;2;2;1;7686;1459;0
95;25799;2021-01-02 17:11:53;125;5;95;1;1;3;3765;715;0
96;9174;2021-01-02 09:38:35;428;2;96;3;1;3;9960;1891;0
97;85994;2021-01-02 09:21:09;230;1;97;2;2;1;4789;909;0
98;14008;2021-01-02 19:23:45;138;2;98;7;2;1;40966;7780;0
