NAME;FRECUENCY;MEAN_AGE;GEN
MARIA CARMEN;668639;54,5;F
MARIA;633600;48,9;F
CARMEN;415535;60,2;F
JOSEFA;298346;66,4;F
ISABEL;279932;56,2;F
ANA MARIA;277090;48,8;F
MARIA PILAR;267272;54,5;F
MARIA DOLORES;265341;54,3;F
MARIA TERESA;256586;54,6;F
ANA;255010;43,1;F
LAURA;253818;26,1;F
MARIA ANGELES;230218;53;F
CRISTINA;229683;31,2;F
FRANCISCA;228133;63,3;F
MARTA;221764;27;F
ANTONIA;221372;63,1;F
DOLORES;214294;65,5;F
MARIA ISABEL;205596;50;F
MARIA JOSE;204536;43,3;F
LUCIA;190438;22,6;F
MARIA LUISA;166577;58,8;F
SARA;160936;23;F
ELENA;160894;35,6;F
PILAR;159537;62,1;F
PAULA;158230;18,6;F
CONCEPCION;157115;63,9;F
MANUELA;149434;60,1;F
ROSA MARIA;148432;49,3;F
RAQUEL;148338;33,4;F
MERCEDES;147281;59,4;F
MARIA JESUS;141368;52,8;F
ROSARIO;129491;62,1;F
JUANA;129429;64,3;F
TERESA;128484;61,1;F
BEATRIZ;124265;34,7;F
ENCARNACION;123403;61,5;F
NURIA;120959;35,7;F
SILVIA;119972;33,2;F
JULIA;119475;42,2;F
MONTSERRAT;113296;52;F
IRENE;112882;25,1;F
PATRICIA;112223;28,8;F
ROSA;111803;63,5;F
ALBA;106287;14,8;F
ANDREA;105711;20,4;F
ROCIO;104584;26,9;F
MONICA;103306;34,8;F
MARIA MAR;99827;40,5;F
ANGELA;99646;44,4;F
ALICIA;98412;37,2;F
SONIA;98017;34,3;F
SANDRA;97579;26,4;F
SUSANA;96106;39,2;F
MARINA;95389;31,5;F
MARGARITA;94238;58;F
YOLANDA;92733;39,7;F
NATALIA;91037;25,8;F
MARIA JOSEFA;90506;60;F
MARIA ROSARIO;81312;56,2;F
INMACULADA;80042;41,2;F
EVA;78366;30,7;F
MARIA MERCEDES;77242;52,4;F
ESTHER;76706;39;F
ANA ISABEL;76236;40,2;F
CLAUDIA;74117;14,8;F
ANGELES;73615;64,3;F
NOELIA;72794;25,1;F
VERONICA;71493;30,6;F
CARLA;66556;11,2;F
AMPARO;65145;63;F
CAROLINA;64778;30,9;F
MARIA ROSA;64419;58,6;F
MARIA VICTORIA;64029;49,9;F
NEREA;63377;16;F
SOFIA;62985;20;F
EVA MARIA;62931;38,3;F
MARIA CONCEPCION;62111;59,5;F
LORENA;61502;25,2;F
ANA BELEN;60649;34,7;F
MIRIAM;60622;24,2;F
VICTORIA;60176;48,2;F
INES;59967;36;F
MARIA ELENA;59809;46,7;F
MARIA ANTONIA;58238;57,4;F
CATALINA;58057;59,9;F
CONSUELO;56873;65,3;F
MARIA NIEVES;53248;54;F
LIDIA;53239;31,8;F
EMILIA;52312;64,5;F
